ID,Group,Failure type,Timing,Overall acceptance control,Overall acceptance failure,Overall acceptance change,Perceived usefulness control,Perceived usefulness failure,Perceived usefulness change,Ease of use control,Ease of use failure,Ease of use change,Attitude control,Attitude failure,Attitude change,Intention to use control,Intention to use failure,Intention to use change
1,1,Hardware,Late,5.725,3.725,-1.9999999999999996,5.5,1.5,-4.0,6.5,5.5,-1.0,4.9,4.4,-0.5,6.0,3.5,-2.5
2,2,Interaction,Late,5.4375,4.5625,-0.875,4.0,3.5,-0.5,5.75,4.75,-1.0,6.0,5.0,-1.0,6.0,5.0,-1.0
3,3,Hardware,Early,5.4875,5.4625,-0.024999999999999467,5.5,6.5,1.0,5.75,5.25,-0.5,5.7,6.1,0.39999999999999947,5.0,4.0,-1.0
4,4,Interaction,Early,6.55,5.825,-0.7249999999999996,7.0,5.5,-1.5,7.0,6.0,-1.0,6.2,5.8,-0.40000000000000036,6.0,6.0,0.0
5,1,Hardware,Late,3.9125,4.1375,0.2250000000000001,4.0,4.5,0.5,4.75,4.75,0.0,4.4,4.3,-0.10000000000000053,2.5,3.0,0.5
6,2,Interaction,Late,5.4625,3.15,-2.3125000000000004,6.0,2.0,-4.0,5.25,4.5,-0.75,4.1,3.1,-0.9999999999999996,6.5,3.0,-3.5
7,3,Hardware,Early,4.2375,4.25,0.012500000000000178,4.0,4.0,0.0,5.75,5.0,-0.75,4.7,4.0,-0.7000000000000002,2.5,4.0,1.5
8,4,Interaction,Early,5.3375,5.25,-0.08750000000000036,5.5,5.5,0.0,5.25,5.5,0.25,5.6,4.0,-1.5999999999999996,5.0,6.0,1.0
9,1,Hardware,Late,5.0375,4.8875,-0.14999999999999947,5.5,5.5,0.0,5.25,4.75,-0.5,5.4,5.3,-0.10000000000000053,4.0,4.0,0.0
10,2,Interaction,Late,5.8125,4.925,-0.8875000000000002,7.0,4.0,-3.0,5.75,5.0,-0.75,5.0,5.7,0.7000000000000002,5.5,5.0,-0.5
11,3,Hardware,Early,5.0625,4.775,-0.28749999999999964,4.5,5.5,1.0,5.25,5.0,-0.25,5.5,5.1,-0.40000000000000036,5.0,3.5,-1.5
12,4,Interaction,Early,5.4,5.725,0.3249999999999993,5.0,6.0,1.0,6.0,6.0,0.0,5.6,6.4,0.8000000000000007,5.0,4.5,-0.5
