ID,Group,Failure type,Timing,Detected,Recovered
1,G1,Hardware,Late,Yes,No
2,G2,Interaction,Late,Yes,No
3,G3,Hardware,Early,Yes,No
4,G4,Interaction,Early,No,No
5,G1,Hardware,Late,Yes,No
6,G2,Interaction,Late,Yes,No
7,G3,Hardware,Early,No,No
8,G4,Interaction,Early,No,No
9,G1,Hardware,Late,Yes,No
10,G2,Interaction,Late,No,No
11,G3,Hardware,Early,No,No
12,G4,Interaction,Early,No,No
13,G1,Hardware,Late,Yes,No
15,G1,Hardware,Late,Yes,No
16,G4,Interaction,Early,No,No
17,G3,Hardware,Early,No,No
18,G2,Interaction,Late,No,No
19,G3,Hardware,Early,Yes,No
20,G4,Interaction,Early,No,No
21,G1,Hardware,Late,Yes,Yes
22,G2,Interaction,Late,No,No
23,G3,Hardware,Early,No,No
24,G3,Hardware,Early,Yes,No
25,G1,Hardware,Late,No,No
26,G2,Interaction,Late,No,No
27,G3,Hardware,Early,Yes,No
28,G4,Interaction,Early,Yes,No
29,G2,Interaction,Late,No,No
30,G3,Hardware,Early,No,No
31,G1,Hardware,Late,Yes,No
34,G4,Interaction,Early,No,No
35,G2,Interaction,Late,No,No
37,G1,Hardware,Late,Yes,No
38,G4,Interaction,Early,Yes,No
39,G2,Interaction,Late,Yes,No
40,G1,Hardware,Late,Yes,No
41,G3,Hardware,Early,Yes,No
42,G4,Interaction,Early,No,No
43,G2,Interaction,Late,No,No
44,G4,Interaction,Early,No,No
