ID,NARS S1,NARS S2,NARS S3,TAP Optimism,TAP Proficiency,TAP Dependence
1,3.8333333333333335,4.666666666666667,4.333333333333333,2.6666666666666665,1.3333333333333333,1.0
2,2.5,3.6666666666666665,3.3333333333333335,4.666666666666667,4.666666666666667,4.0
3,2.6666666666666665,3.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,5.0
4,3.0,3.6666666666666665,2.3333333333333335,5.0,3.6666666666666665,2.0
5,2.3333333333333335,2.0,4.0,3.3333333333333335,3.6666666666666665,2.0
6,2.1666666666666665,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.0,1.0
7,1.8333333333333333,1.3333333333333333,3.0,3.0,3.6666666666666665,3.0
8,2.0,4.333333333333333,3.0,3.6666666666666665,3.0,1.0
9,2.6666666666666665,3.0,4.333333333333333,2.3333333333333335,2.3333333333333335,1.0
10,3.0,4.0,2.0,4.0,3.3333333333333335,2.0
11,3.1666666666666665,3.3333333333333335,4.0,3.0,2.3333333333333335,1.0
12,1.6666666666666667,3.0,2.6666666666666665,4.0,4.0,3.0
13,3.8333333333333335,4.0,3.3333333333333335,2.3333333333333335,1.6666666666666667,4.0
15,3.3333333333333335,4.333333333333333,3.6666666666666665,3.0,2.0,2.0
16,4.166666666666667,4.333333333333333,4.333333333333333,1.3333333333333333,2.0,1.0
17,2.1666666666666665,4.0,4.333333333333333,4.333333333333333,3.6666666666666665,3.0
18,2.0,2.0,3.3333333333333335,3.3333333333333335,3.0,2.0
19,2.1666666666666665,2.3333333333333335,4.0,5.0,4.333333333333333,1.0
20,3.0,4.0,3.0,2.3333333333333335,3.0,5.0
21,2.0,1.6666666666666667,2.6666666666666665,4.333333333333333,3.6666666666666665,5.0
22,2.5,1.0,5.0,5.0,5.0,5.0
23,3.3333333333333335,3.0,3.0,3.6666666666666665,5.0,5.0
24,2.8333333333333335,3.6666666666666665,4.0,4.333333333333333,3.3333333333333335,3.0
25,2.6666666666666665,4.666666666666667,2.6666666666666665,2.3333333333333335,3.3333333333333335,1.0
26,2.6666666666666665,2.0,2.0,3.3333333333333335,2.6666666666666665,3.0
27,3.1666666666666665,4.333333333333333,3.6666666666666665,4.333333333333333,2.0,2.0
28,3.6666666666666665,3.0,2.3333333333333335,3.6666666666666665,2.6666666666666665,4.0
29,1.5,2.3333333333333335,4.0,5.0,4.0,4.0
30,2.6666666666666665,3.6666666666666665,3.0,5.0,4.0,4.0
31,2.5,3.3333333333333335,4.333333333333333,4.333333333333333,2.0,1.0
34,2.6666666666666665,2.6666666666666665,2.3333333333333335,3.0,2.0,5.0
35,3.1666666666666665,3.3333333333333335,2.0,4.333333333333333,3.3333333333333335,4.0
37,2.3333333333333335,3.0,2.3333333333333335,2.6666666666666665,2.0,3.0
38,3.0,4.0,3.0,3.0,2.6666666666666665,2.0
39,1.5,3.0,4.333333333333333,3.3333333333333335,3.6666666666666665,1.0
40,3.5,4.0,1.3333333333333333,2.6666666666666665,1.0,5.0
41,2.1666666666666665,2.6666666666666665,1.6666666666666667,3.6666666666666665,4.333333333333333,3.0
42,3.3333333333333335,3.6666666666666665,3.0,1.6666666666666667,1.6666666666666667,1.0
43,3.3333333333333335,4.666666666666667,4.333333333333333,3.6666666666666665,2.6666666666666665,2.0
44,2.5,4.666666666666667,3.6666666666666665,4.666666666666667,1.6666666666666667,1.0
